x,y,time,steering_angle,speed_mps,cur_lat_dist_abs,trg_way_lon_dist
0.0000,2.0000,7.5000,0.0000,0.0000,0.0000,3.7659
0.0195,2.0000,8.0000,0.0024,2.2322,0.0005,3.7655
0.3746,2.0009,8.4999,0.0018,2.2322,0.2986,4.4088
0.7936,2.0022,9.0012,0.0016,2.8455,0.2348,4.0009
1.2415,2.0039,9.5000,0.0012,2.8455,0.2191,4.4886
1.6635,2.0057,10.0000,0.0008,3.2652,0.3084,5.0163
2.1135,2.0077,10.4999,0.0007,3.2652,0.1306,5.5190
2.4396,2.0091,11.0000,0.0008,3.6995,0.4388,5.1470
2.8166,2.0106,11.5000,0.0007,3.6995,0.0818,5.7318
3.2226,2.0121,11.9999,0.0007,3.6995,0.3123,6.2798
3.6066,2.0136,12.5000,0.0007,4.0112,0.2234,5.8738
3.9816,2.0149,12.9999,0.0007,4.0112,0.1177,6.4748
4.4206,2.0165,13.5000,0.0008,4.4884,0.3689,6.0198
4.8006,2.0179,14.0000,0.0008,4.4884,0.0463,6.5467
5.1616,2.0191,14.5000,0.0007,4.4884,0.3872,7.1472
5.5596,2.0205,14.9999,0.0008,4.7998,0.1856,6.7782
5.9196,2.0218,15.4999,0.0008,4.7998,0.2055,7.3281
6.3526,2.0233,15.9999,0.0009,4.7998,0.3172,6.9091
6.7846,2.0248,16.4999,0.0008,4.7998,0.1071,7.4248
7.2086,2.0263,16.9999,0.0009,4.7998,0.4111,7.0008
7.6296,2.0278,17.4999,0.0011,4.7998,0.0125,6.5988
8.0095,2.0291,18.0000,0.0009,4.7998,0.4211,7.1070
8.4705,2.0309,18.5000,0.0011,4.7998,0.0854,6.6710
8.8745,2.0325,19.0000,0.0009,4.7998,0.3293,7.1943
9.2635,2.0343,19.5000,0.0010,4.7998,0.2401,6.8213
9.6945,2.0363,20.0000,0.0007,4.7998,0.2004,7.3345
10.0885,2.0381,20.5000,0.0007,4.7998,0.3361,6.9285
10.4875,2.0398,21.0001,0.0008,4.7998,0.0486,6.5455
10.9215,2.0418,21.5000,-0.0033,4.7997,0.4550,7.0489
11.3396,2.0437,22.0001,-0.0035,4.7997,0.0475,6.6398
11.7658,2.0448,22.5000,-0.0234,4.7997,0.4048,6.9559
12.1800,2.0460,22.9999,-0.0242,4.7996,0.1408,6.5604
12.5920,2.0415,23.5000,-0.0530,4.7996,0.2728,6.8218
13.0003,2.0331,24.0000,-0.0717,4.7994,0.2566,7.1483
13.3716,2.0159,24.4999,-0.0729,4.7994,0.1336,6.7810
13.8257,1.9776,25.0000,-0.0760,4.7993,0.4010,7.2610
14.2398,1.9270,25.5000,-0.0764,4.7993,0.1397,6.8457
14.6724,1.8578,26.0000,-0.0637,4.7993,0.5115,7.3500
15.0782,1.7774,26.5001,-0.0632,4.8000,0.2924,6.9434
15.4916,1.6845,26.9999,-0.0629,4.8000,0.5106,6.5337
15.9112,1.5788,27.5006,-0.0486,4.7859,0.5137,7.0297
16.3054,1.4680,28.0000,-0.0479,4.7859,0.6494,6.6048
16.6939,1.3523,28.5000,-0.0354,4.5966,0.7828,7.1337
17.0963,1.2248,29.0000,-0.0347,4.5966,0.8380,6.7272
17.4908,1.0956,29.4999,-0.0322,3.8288,0.9924,8.1781
17.8915,0.9598,30.0000,-0.0339,4.0942,0.9668,5.8888
18.2983,0.8172,30.5000,-0.0314,4.0942,0.7720,7.3303
18.7031,0.6694,31.0000,-0.0310,4.7339,0.5703,6.8871
19.0763,0.5285,31.4999,-0.0338,4.7339,0.2511,8.3352
19.4731,0.3735,32.0000,-0.0337,4.7339,0.3758,7.9174
19.8316,0.2280,32.5000,-0.0336,4.3046,0.2709,7.5370
20.2499,0.0513,33.0000,-0.0334,4.3046,0.3991,7.1075
20.6151,-0.1090,33.5000,-0.0332,4.0835,0.5152,6.6956
20.9856,-0.2775,34.0000,-0.0329,4.0835,0.5296,6.2784
21.3564,-0.4522,34.5006,-0.0279,4.7249,0.4723,7.7248
21.7607,-0.6496,35.0005,-0.0276,4.7249,0.3682,7.2945
22.1208,-0.8301,35.5000,-0.0273,4.7724,0.4166,6.8701
22.4746,-1.0119,36.0000,-0.0191,4.7724,0.1643,7.4259
22.8333,-1.2013,36.5000,-0.0187,4.7724,0.4496,7.0288
23.2095,-1.4025,37.0000,-0.0184,4.2880,0.0838,6.5997
23.5695,-1.5978,37.5000,0.0001,4.2880,0.3403,7.0583
23.9342,-1.7990,38.0000,0.0012,4.2880,0.7526,6.6437
24.2839,-1.9903,38.5000,0.0018,4.5457,0.7149,6.2361
24.6422,-2.1848,39.0000,0.0330,4.5457,0.2972,6.5157
25.0054,-2.3818,39.5010,0.0691,4.5457,0.1315,6.6037
25.3943,-2.5836,40.0000,0.1423,4.5457,0.5397,6.7141
25.7610,-2.7580,40.5003,0.1705,4.6811,0.9365,6.7265
26.1729,-2.9144,41.0000,0.1870,4.6811,0.5604,6.8819
26.5678,-3.0232,41.5002,0.1885,4.6811,0.3782,6.5437
26.9708,-3.0946,42.0000,0.1948,4.6811,0.5841,6.8668
27.3902,-3.1310,42.5001,0.1959,4.6811,0.9491,6.5462
27.7840,-3.1309,43.0000,0.1939,4.4961,1.2501,6.9745
28.1828,-3.0981,43.5046,0.1948,4.4961,1.2668,6.6599
28.5943,-3.0307,44.0000,0.1867,4.4961,1.4560,7.1316
28.9958,-2.9309,44.5000,0.1874,4.4961,1.7303,6.8105
29.4018,-2.7971,45.0000,0.1759,4.1596,2.0106,7.3319
29.8121,-2.6250,45.4999,0.1900,3.9798,2.0901,6.0912
30.1775,-2.4425,46.0000,0.1760,4.4205,1.7922,6.6313
30.5277,-2.2318,46.5000,0.1660,4.7777,1.5721,7.1522
30.8768,-1.9877,47.0000,0.1662,4.7777,1.2286,6.7754
31.2025,-1.7290,47.5000,0.1747,4.7777,0.9993,7.0386
31.5132,-1.4493,48.0000,0.1754,4.7907,0.8293,6.6789
31.8043,-1.1478,48.5001,0.1795,4.7907,0.5274,7.0055
32.0553,-0.8502,49.0000,0.1801,4.7907,0.5025,6.6904
32.2965,-0.5198,49.5000,0.1588,4.7994,0.3028,7.2578
32.5211,-0.1574,50.0000,0.1588,4.7994,0.2054,6.8870
32.7261,0.2218,50.5000,0.1590,4.7895,0.3314,6.5010
32.8986,0.5929,51.0001,0.1287,4.7895,0.1179,7.0509
33.0542,0.9951,51.5000,0.1277,4.7797,0.4809,6.6607
33.1924,1.4043,52.0000,0.1092,4.7797,0.1762,7.1882
33.3060,1.8015,52.5000,0.1081,4.7797,0.4396,6.7808
33.4087,2.2146,53.0027,0.1008,4.7846,0.2018,7.2851
33.4943,2.6258,53.5000,0.1001,4.7846,0.3421,6.8781
33.5645,3.0336,54.0000,0.0996,4.5051,0.2712,6.5091
33.6191,3.4358,54.5000,0.1011,4.5051,0.1810,6.9665
33.6536,3.7742,55.0000,0.1008,3.5962,0.4293,6.6377
33.6800,4.1670,55.5000,0.0970,3.5962,0.0629,5.3815
33.6919,4.5944,56.0000,0.1002,3.5962,0.3721,5.8701
33.6874,5.0207,56.4999,0.0996,4.6685,0.4903,5.4492
33.6670,5.4247,57.0000,0.1245,4.6685,0.6172,6.6185
33.6277,5.8643,57.5000,0.1393,3.5918,0.9248,6.8700
33.5652,6.2865,58.0000,0.1238,4.3340,0.9278,5.8018
33.4861,6.6598,58.4999,0.1544,4.3340,0.7384,6.7789
33.3833,7.0530,59.0000,0.1552,4.2726,0.6952,6.4297
33.2434,7.4670,59.5000,0.1610,4.2726,0.2953,6.7877
33.0877,7.8414,60.0000,0.1616,4.2726,0.2244,6.4189
32.8982,8.2210,60.4999,0.1602,4.2168,0.3812,6.8792
32.6833,8.5860,61.0000,0.1605,4.2168,0.3375,6.5039
32.4502,8.9278,61.5000,0.1607,4.2465,0.6323,6.1344
32.1915,9.2583,62.0000,0.1537,4.2465,0.6155,6.6278
31.8982,9.5848,62.4999,0.1537,4.2698,0.7859,6.2451
31.5955,9.8820,63.0000,0.1431,4.2698,0.7807,6.7619
31.2797,10.1558,63.5000,0.1428,4.3037,0.8173,6.3684
30.9632,10.4022,64.0000,0.1302,4.3037,0.8099,6.9237
30.6075,10.6482,64.5001,0.1297,4.3041,0.7401,6.5283
30.2522,10.8694,65.0005,0.1162,4.3041,0.7181,7.0690
29.8802,11.0756,65.5001,0.1155,4.4602,0.5334,6.6660
29.4865,11.2722,65.9999,0.1019,4.4602,0.4985,7.2106
29.1201,11.4354,66.5000,0.1010,4.7655,0.3210,6.8045
28.7475,11.5864,67.0000,0.0880,4.7655,0.2207,7.3470
28.3521,11.7296,67.5000,0.0871,4.7914,0.3551,6.9453
27.9452,11.8634,68.0000,0.0864,4.7914,0.1088,6.5363
27.5219,11.9873,68.5001,0.0730,4.7948,0.4957,7.0533
27.1284,12.0880,69.0000,0.0720,4.7948,0.2582,6.6447
26.7182,12.1823,69.4999,0.0598,4.7948,0.4836,7.1703
26.2962,12.2672,70.0000,0.0588,4.7993,0.3930,6.7387
25.8913,12.3405,70.5000,0.0482,4.7993,0.4819,7.2825
25.4748,12.4067,71.0000,0.0474,4.7960,0.5128,6.8653
25.0672,12.4653,71.5000,0.0382,4.7960,0.4899,7.3908
24.6664,12.5163,72.0000,0.0376,4.7946,0.6208,6.9939
24.2611,12.5635,72.5001,0.0370,4.7946,0.4966,6.5909
23.8364,12.6077,73.0009,0.0286,4.7946,0.6613,7.1195
23.4070,12.6463,73.5000,0.0280,4.7956,0.5135,6.6945
22.9941,12.6799,74.0000,0.0211,4.7956,0.6114,7.2012
22.5798,12.7097,74.5000,0.0205,4.7966,0.5341,6.8034
22.1633,12.7373,75.0000,0.0149,4.7966,0.5424,7.3078
21.7465,12.7623,75.5001,0.0144,4.7975,0.5596,6.9035
21.3076,12.7869,76.0000,0.0100,4.7975,0.4868,7.3809
20.8804,12.8091,76.5000,0.0096,4.7985,0.5818,6.9832
20.4772,12.8290,77.0000,0.0093,4.7985,0.4253,6.5745
20.0619,12.8485,77.5000,0.0057,4.7985,0.6113,7.0860
19.6534,12.8666,78.0000,0.0053,4.7995,0.3922,6.6791
19.2248,12.8851,78.5000,0.0025,4.7995,0.5069,7.1886
18.8112,12.9023,79.0000,0.0023,4.7995,0.3798,6.7676
18.4005,12.9195,79.5000,0.0003,4.7995,0.3956,7.3083
17.9788,12.9370,80.0000,0.0001,4.7985,0.4115,6.8822
17.5731,12.9542,80.5000,-0.0012,4.7985,0.3057,7.4091
17.1673,12.9716,81.0000,-0.0014,4.7975,0.4797,7.0020
16.7227,12.9912,81.4999,-0.0014,4.7975,0.2364,6.5809
16.3170,13.0095,82.0000,-0.0024,4.7975,0.4880,7.0990
15.8734,13.0299,82.5000,-0.0025,4.7966,0.2096,6.6679
15.4667,13.0492,83.0000,-0.0032,4.7966,0.4025,7.1741
15.0131,13.0713,83.5007,-0.0032,4.7956,0.2077,6.7270
14.5875,13.0928,84.0000,-0.0036,4.7956,0.3092,7.2601
14.1680,13.1146,84.5000,-0.0036,4.7952,0.2898,6.8520
13.7744,13.1357,85.0025,-0.0039,4.7952,0.1992,7.3702
13.3559,13.1588,85.5000,-0.0039,4.7961,0.3718,6.9491
12.9355,13.1828,86.0001,-0.0039,4.7961,0.1061,6.5350
12.5011,13.2083,86.4999,-0.0040,4.7973,0.4652,7.0489
12.0867,13.2334,87.0000,-0.0040,4.7973,0.0749,6.6188
11.6484,13.2607,87.5000,-0.0036,4.7973,0.4003,7.1376
11.2262,13.2878,88.0000,-0.0035,4.7985,0.1310,6.7115
10.7930,13.3162,88.5000,0.0044,4.7985,0.3176,7.1744
10.3882,13.3436,89.0041,0.0047,4.7997,0.2410,6.7847
9.9774,13.3702,89.5000,0.0303,4.7997,0.1951,7.0676
9.5688,13.3962,90.0000,0.0315,4.7990,0.3558,6.6754
9.1467,13.4155,90.5000,0.0590,4.7990,0.0944,6.8777
8.7397,13.4282,91.0000,0.0783,4.7975,0.4501,7.2019
8.3184,13.4283,91.5000,0.0795,4.7975,0.0445,6.7913
7.8946,13.4106,92.0003,0.0914,4.7975,0.3802,7.1934
7.4860,13.3775,92.5000,0.0920,4.5954,0.2093,6.7842
7.0859,13.3274,92.9999,0.0915,4.5954,0.3424,7.2885
6.6597,13.2555,93.5000,0.0915,4.1942,0.4347,6.8852
6.2425,13.1672,93.9999,0.0914,4.1942,0.4807,6.4598
5.8570,13.0694,94.5000,0.0702,3.7773,0.7240,6.9772
5.4628,12.9529,94.9999,0.0928,3.7773,0.7336,5.6852
5.0747,12.8289,95.5000,0.0662,3.7773,0.9457,6.1799
4.6532,12.6736,95.9999,0.0646,1.5000,1.0799,5.7589
4.2791,12.5258,96.5000,0.0338,1.5000,1.2609,2.6731
3.8737,12.3548,97.0006,0.1148,4.3783,1.1587,3.1017
3.4850,12.1896,97.5000,-0.0358,4.3783,0.9924,6.9124
3.0846,11.9871,98.0000,-0.0428,4.7871,0.7783,6.4814
2.6972,11.8070,98.4999,-0.0555,4.7871,0.5684,6.9415
2.3218,11.6470,99.0000,-0.0577,4.7756,0.5472,6.5321
1.9417,11.5001,99.5000,-0.0634,4.7756,0.1363,7.0162
1.5278,11.3552,99.9999,-0.0643,4.7756,0.3123,6.5968
1.1027,11.2228,100.5000,-0.0655,4.4335,0.4707,7.0792
0.7087,11.1137,101.0009,-0.0657,4.4335,0.6265,6.6647
0.2795,11.0090,101.4999,-0.0642,3.8239,0.8995,7.1780
-0.1350,10.9212,102.0000,-0.0655,3.8239,1.0104,5.8435
-0.5311,10.8486,102.5000,-0.0636,1.5000,0.9405,6.3514
-0.8484,10.7987,102.9999,-0.0451,3.7055,0.9059,3.2664
-1.2842,10.7414,103.5000,-0.0651,3.7055,0.7256,5.6182
-1.6949,10.6921,104.0000,-0.0612,4.7656,0.7544,6.1236
-2.1218,10.6537,104.5000,-0.0558,4.7656,0.5077,6.6464
-2.5415,10.6271,105.0006,-0.0503,4.7656,0.5490,7.1882
-2.9566,10.6100,105.5000,-0.0498,4.7867,0.3640,6.7642
-3.4081,10.6000,106.0007,-0.0443,4.7867,0.3736,7.2517
-3.8615,10.5994,106.5000,-0.0438,4.7849,0.2818,6.8168
-4.2416,10.6049,107.0000,-0.0332,4.7849,0.2022,7.3574
-4.6655,10.6180,107.5000,-0.0326,4.7994,0.3857,6.9610
-5.0872,10.6352,108.0000,-0.0322,4.7994,0.0660,6.5165
-5.4805,10.6554,108.5000,-0.0057,4.7994,0.4560,6.8865
-5.9330,10.6841,109.0000,0.0273,4.7891,0.0724,7.0304
-6.3513,10.7101,109.5000,0.0295,4.7891,0.3870,6.6172
-6.8010,10.7284,110.0000,0.0591,4.7966,0.1956,6.8115
-7.2120,10.7379,110.5000,0.0800,4.7966,0.3666,7.0946
-7.6430,10.7335,111.0000,0.0814,4.0921,0.3564,6.7060
-8.0378,10.7121,111.5000,0.0821,4.0921,0.3819,6.3177
-8.4444,10.6737,112.0000,0.0958,3.7943,0.5752,6.6858
-8.8682,10.6171,112.5000,0.0962,3.7943,0.5641,6.2959
-9.2659,10.5452,113.0000,0.0963,3.7943,0.8087,5.9057
-9.6728,10.4533,113.4999,0.1036,2.7973,0.8476,6.3578
-10.0561,10.3500,113.9999,0.0687,2.7973,1.0172,4.2991
-10.4324,10.2289,114.5000,0.0969,1.5000,1.2224,4.7238
-10.8346,10.0906,114.9999,-0.0600,1.5000,1.3552,2.7330
-11.2346,9.9319,115.5000,0.0697,3.8245,1.5293,3.0507
-11.6345,9.7984,116.0000,0.1297,4.0684,1.3949,6.1789
-12.0176,9.6592,116.5000,0.1232,4.0684,1.0983,6.7176
-12.3888,9.4942,117.0000,0.1238,4.0684,0.9416,6.3572
-12.7585,9.3023,117.5000,0.1242,4.3872,0.7339,5.9522
-13.1075,9.0949,118.0001,0.1211,4.3872,0.5324,6.4593
-13.4499,8.8655,118.5000,0.1326,4.7869,0.5922,6.7913
-13.7808,8.6191,119.0000,0.1539,4.7869,0.2533,6.8969
-14.0957,8.3561,119.5000,0.1548,4.7869,0.3500,6.5349
-14.3987,8.0650,120.0000,0.2758,4.7975,0.2137,6.6746
-14.6790,7.7615,120.5000,0.2780,4.7975,0.2113,6.5167
-14.9015,7.4426,120.9999,0.2716,4.7895,0.3482,6.8560
-15.0920,7.0771,121.4999,0.2734,4.7895,0.0648,6.6961
-15.2356,6.6976,122.0000,0.2756,4.7895,0.4695,6.5093
-15.3312,6.3221,122.5004,0.2614,4.7740,0.2930,7.0071
-15.3864,5.9176,123.0000,0.2636,4.7740,0.5139,6.8123
-15.4008,5.5106,123.5000,0.2661,4.7409,0.7448,6.5986
-15.3730,5.0967,124.0000,0.2469,4.7409,0.9161,7.1894
-15.3092,4.7287,124.5000,0.2488,4.7409,1.1983,6.9831
-15.2047,4.3299,124.9999,0.2511,4.3755,1.5124,6.7367
-15.0793,3.9797,125.5000,0.2532,4.3755,1.7684,6.5005
-14.8966,3.5890,126.0000,0.2296,4.6781,1.7599,7.1385
-14.6803,3.2295,126.5000,0.2314,4.6781,1.3584,6.8470
-14.4585,2.9186,127.0001,0.2332,4.6781,1.0404,6.5766
-14.2001,2.6118,127.5001,0.2080,4.6781,0.8002,7.2116
-13.8918,2.3085,128.0000,0.2091,4.7819,0.5195,6.9114
-13.5746,2.0388,128.4999,0.2105,4.7819,0.1364,6.5790
-13.2560,1.8063,129.0000,0.1842,4.7819,0.3429,7.2064
-12.9012,1.5893,129.5000,0.1846,4.7905,0.4222,6.8611
-12.5543,1.4047,130.0020,0.1853,4.7905,0.5289,6.5264
-12.1796,1.2351,130.5000,0.1585,4.7905,0.8346,7.1082
-11.7769,1.0874,131.0000,0.1582,4.7987,0.8539,6.7329
-11.3862,0.9670,131.5000,0.1338,4.7987,1.0140,7.3070
-10.9702,0.8654,132.0008,0.1330,4.6995,1.1048,6.8979
-10.5409,0.7803,132.5000,0.1106,4.6995,1.1886,7.4225
-10.1203,0.7186,133.0032,0.1096,4.5996,1.2760,7.0056
-9.7811,0.6796,133.5001,0.0617,2.2322,9.9566,9.9566
-9.3411,0.6431,133.9999,0.0595,2.2322,9.5168,9.5168
-8.9112,0.6157,134.5001,0.0584,2.2322,9.1029,9.1029
-8.4830,0.5953,135.0000,0.0578,2.2322,8.6913,8.6913
-8.0766,0.5824,135.5000,0.0573,2.2322,8.2880,8.2880
-7.6582,0.5766,136.0002,0.0568,2.2322,7.8628,7.8628
-7.2339,0.5794,136.5000,0.0563,2.2322,7.4486,7.4486
-6.8069,0.5913,137.0000,0.0559,2.2322,7.0366,7.0366
-6.3892,0.6120,137.5000,0.0554,2.2322,6.6081,6.6081
-5.9651,0.6424,138.0000,0.0549,2.2322,6.1965,6.1965
-5.5418,0.6823,138.4999,0.0544,2.2322,5.7852,5.7852
-5.1017,0.7338,139.0000,0.0537,2.2322,5.3564,5.3564
-4.7131,0.7880,139.5000,0.0530,2.2322,4.9338,4.9338
-4.3257,0.8500,140.0000,0.0521,2.2322,4.5444,4.5444
-3.9073,0.9260,140.4999,0.0511,2.2322,4.1435,4.1435
-3.4964,1.0097,141.0005,0.0497,2.2322,3.7164,3.7164
-3.0959,1.0999,141.5000,0.0086,2.2322,3.3037,4.2171
-2.6840,1.2022,142.0000,0.0035,2.2322,2.8730,3.7861
-2.2890,1.2987,142.5001,-0.0210,2.2322,2.4851,4.3228
-1.8644,1.4008,142.9999,-0.0250,2.2322,2.0614,3.8994
-1.4833,1.4857,143.5000,-0.0364,2.2322,1.6328,4.4027
-1.0870,1.5677,144.0000,-0.0383,2.2322,1.2488,4.0166
-0.6981,1.6399,144.5000,-0.0396,2.2322,0.8470,3.6061
-0.3664,1.6953,145.0000,-0.0413,2.2322,0.5337,4.2099
0.0375,1.7554,145.5000,-0.0416,2.2322,0.2604,3.8217
0.4484,1.8083,146.0000,-0.0383,2.2322,0.4136,4.3524
0.8650,1.8538,146.5000,-0.0376,2.8455,0.2241,3.9282
1.2942,1.8933,147.0007,-0.0321,2.8455,0.2928,4.4420
1.7170,1.9249,147.5001,-0.0267,3.2652,0.2518,4.9449
2.1521,1.9518,148.0000,-0.0223,3.2652,0.1932,5.4672
2.5562,1.9730,148.5000,-0.0216,3.6995,0.3538,5.0597
